epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3593,1.62508,3.11218,1.63647,0.00254,0.44792,0.15297,0.03328,2.42113,4.04151,2.19087,0.08317,0.00017,0.00017
2,22.203,1.4128,2.10473,1.45423,0.00986,0.56389,0.27863,0.10803,1.88573,3.64237,1.80676,0.0653499,0.000349866,0.000349866
3,31.7354,1.3752,1.65092,1.44249,0.72482,0.50914,0.6228,0.33604,1.79149,2.33329,1.48661,0.0475292,0.000529191,0.000529191
4,40.6811,1.36008,1.41548,1.41616,0.67427,0.68381,0.87118,0.43535,1.74853,1.8563,1.50871,0.0297076,0.000707564,0.000707564
5,49.6973,1.33444,1.33094,1.38043,0.83636,0.84869,0.90949,0.39814,1.9147,1.48931,1.51331,0.0118846,0.000884576,0.000884576
6,58.8081,1.27815,1.25867,1.37761,0.89334,0.72537,0.91786,0.49738,1.67401,1.39991,1.41647,0.000990489,0.000990489,0.000990489
7,67.8501,1.30117,1.20599,1.40685,0.82393,0.94068,0.995,0.58875,1.45016,1.16096,1.33766,0.000986323,0.000986323,0.000986323
8,76.7093,1.25676,1.18274,1.36473,0.86524,0.88889,0.95999,0.55678,1.41908,1.23093,1.3311,0.000981415,0.000981415,0.000981415
9,91.4342,1.30094,1.21653,1.41461,0.8756,1,0.995,0.57588,1.49844,1.1976,1.42315,0.000975773,0.000975773,0.000975773
10,96.2044,1.25118,1.13814,1.39834,0.94122,0.99413,0.995,0.48156,1.74772,1.2499,1.67152,0.000969405,0.000969405,0.000969405
11,105.019,1.24736,1.07248,1.37767,0.87314,0.98539,0.99225,0.41937,1.92334,1.17785,1.66123,0.00096232,0.00096232,0.00096232
12,114.093,1.21029,1.07773,1.35041,0.80995,0.96151,0.995,0.44712,1.92755,1.07899,1.66767,0.000954531,0.000954531,0.000954531
13,123.095,1.21699,1.04331,1.34072,0.98578,0.9587,0.995,0.57439,1.45872,1.03349,1.42567,0.000946048,0.000946048,0.000946048
14,132.068,1.26724,1.07177,1.38003,0.95297,0.99926,0.995,0.51892,1.69827,0.93869,1.56714,0.000936886,0.000936886,0.000936886
15,140.427,1.21749,1.02832,1.35698,0.95854,1,0.98472,0.55274,1.54765,0.86758,1.44202,0.000927057,0.000927057,0.000927057
16,149.355,1.16787,0.99388,1.31718,0.93951,0.99502,0.98806,0.61028,1.38834,0.75062,1.28946,0.000916577,0.000916577,0.000916577
17,158.308,1.17829,0.99195,1.32529,0.95707,0.97746,0.995,0.57703,1.46604,0.84294,1.38778,0.000905463,0.000905463,0.000905463
18,167.168,1.12547,0.94996,1.29782,0.97745,1,0.995,0.67227,1.14999,0.70965,1.22262,0.000893732,0.000893732,0.000893732
19,175.936,1.15902,0.92987,1.30265,0.96446,1,0.995,0.60646,1.37616,0.75559,1.35458,0.000881401,0.000881401,0.000881401
20,184.795,1.12304,0.88474,1.29433,0.97525,0.93573,0.9895,0.59104,1.37655,0.68581,1.34815,0.00086849,0.00086849,0.00086849
21,193.699,1.12689,0.87487,1.28144,0.96644,1,0.995,0.56878,1.46594,0.74474,1.33871,0.000855018,0.000855018,0.000855018
22,202.526,1.12526,0.85164,1.2783,0.96854,1,0.995,0.42245,2.07417,0.85422,1.68066,0.000841006,0.000841006,0.000841006
23,211.353,1.14783,0.85225,1.30556,0.97628,1,0.995,0.63619,1.3436,0.64142,1.30279,0.000826477,0.000826477,0.000826477
24,215.306,1.14606,0.85643,1.30601,0.89239,0.98482,0.98667,0.61252,1.27794,0.74027,1.2906,0.000811452,0.000811452,0.000811452
25,223.774,1.11278,0.83805,1.28007,0.90062,1,0.97833,0.58475,1.4661,0.82808,1.35771,0.000795954,0.000795954,0.000795954
26,232.54,1.08178,0.80989,1.24999,0.95919,1,0.995,0.59049,1.40486,0.79354,1.33611,0.000780007,0.000780007,0.000780007
27,241.445,1.1259,0.82871,1.29084,0.96203,1,0.9785,0.63198,1.26906,0.63765,1.21168,0.000763637,0.000763637,0.000763637
28,250.317,1.11529,0.81836,1.28581,0.95482,1,0.99225,0.66574,1.14426,0.58743,1.16686,0.000746868,0.000746868,0.000746868
